"Cor","CorrType","EdgeBetweenness","interaction","name","Pvalue","selected","shared interaction","shared name"
"-0.2012","Negative","9.61535468083523","interacts with","16010d640ae1f9ef8b46d9778d31166d_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.017","false","interacts with","16010d640ae1f9ef8b46d9778d31166d_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2415","Negative","11.930847423502433","interacts with","6dec4a7642385d3256e7c0ab2c05366d_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.004","false","interacts with","6dec4a7642385d3256e7c0ab2c05366d_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2091","Negative","11.457578585434835","interacts with","5743cd46a67f26fc2a0a910a35f1b12f_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.011","false","interacts with","5743cd46a67f26fc2a0a910a35f1b12f_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.3105","Negative","10.137354315266734","interacts with","d4ced3fcf757696111ad371371ff4cce_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","d4ced3fcf757696111ad371371ff4cce_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2136","Negative","15.092036355647547","interacts with","007761694cceb108c141cce8750b23b5_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.013","false","interacts with","007761694cceb108c141cce8750b23b5_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.299","Negative","8.925942613628923","interacts with","25f16fb9e13dc11d9cdb2563441d93ea_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.002","false","interacts with","25f16fb9e13dc11d9cdb2563441d93ea_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.1826","Positive","19.58952131101055","interacts with","92b9c83064618f3fa4cc6f518011a93f_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.018","false","interacts with","92b9c83064618f3fa4cc6f518011a93f_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2597","Negative","10.15485843904908","interacts with","45072f0f90af585d84d9e8b285570885_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.003","false","interacts with","45072f0f90af585d84d9e8b285570885_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.19","Negative","12.180713337324653","interacts with","573058e00737be3571135b4901715a5b_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.024","false","interacts with","573058e00737be3571135b4901715a5b_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2015","Negative","10.709985260600094","interacts with","01355d320b33ddf29a77579fe487ee60_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.015","false","interacts with","01355d320b33ddf29a77579fe487ee60_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.3007","Negative","9.49191961276162","interacts with","b5b89cca5a0cb0c01db814cb6f693f9f_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","b5b89cca5a0cb0c01db814cb6f693f9f_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2328","Negative","11.267712349315168","interacts with","5f279c746c8e0dc1b9305887f0cbae5a_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.006","false","interacts with","5f279c746c8e0dc1b9305887f0cbae5a_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2021","Negative","8.805511248722894","interacts with","12d11cd730ac7a521601a8c9ef2e3f4c_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.01","false","interacts with","12d11cd730ac7a521601a8c9ef2e3f4c_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.2458","Positive","17.917377371038913","interacts with","39d163834966cd25a456abec8a6fb0a4_oomycete (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.003","false","interacts with","39d163834966cd25a456abec8a6fb0a4_oomycete (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.1893","Negative","11.060414958557136","interacts with","cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.042","false","interacts with","cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.178","Positive","28.151403551979215","interacts with","394dace7cd674dc9355c4f64bfada83f_eukaryote (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.038","false","interacts with","394dace7cd674dc9355c4f64bfada83f_eukaryote (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
