Feature ID	Confidence	Domain	Phylum	Class	Order	Family	Genus	Species	Origin	Kingdom	Supergroup	Division	Subdivision
3622c2f16d04e5ff619751cb958688a3_fungi	0.9476180413010111		Eukaryota_phy_Incertae_sedis	Eukaryota_cls_Incertae_sedis	Eukaryota_ord_Incertae_sedis	Eukaryota_fam_Incertae_sedis	Eukaryota_gen_Incertae_sedis	Eukaryota_sp	UNITE	Eukaryota_kgd_Incertae_sedis			
4107451be3d28b703ca6eb89aef42525_fungi	0.997045541289186		Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	Erysiphe_cruciferarum	UNITE	Fungi			
7aba69f8ef7c6bd8fd8083288db25afc_fungi	0.9335760132749118		Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiales_fam_Incertae_sedis	Erythrobasidiales_gen_Incertae_sedis	Erythrobasidiales_sp	UNITE	Fungi			
7f175dd49e1fccb3953bd1f5f213a915_fungi	0.9978227606854067								UNITE	Fungi			
5aed794c62ca89e03e21cda90edb0c31_fungi	0.9999731551130822		Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_sclerotigenum	UNITE	Fungi			
d93df2213eeb010cadc5740291582ce0_fungi	0.9980488789321328		Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	Cystofilobasidium_macerans	UNITE	Fungi			
561a5d2c7bfe0d9261f6e04a3d0e391b_fungi	0.9999906480058802		Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeriaceae_gen_Incertae_sedis	Phaeosphaeriaceae_sp	UNITE	Fungi			
ed4fd020b457f61ff3d2b22a0c288082_fungi	0.9431624364014425		Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_fam_Incertae_sedis	Bahusakala	Bahusakala_sp	UNITE	Fungi			
bf02cad5c510adf58ec0e87957ab53fd_fungi	0.9999852621290769		Ascomycota	Dothideomycetes	Pleosporales	Amniculicolaceae	Murispora	Murispora_cicognanii	UNITE	Fungi			
5949a342f2aa6fc48e93d1f1af0c84af_fungi	0.9996765125978104		Ascomycota	Dothideomycetes	Pleosporales				UNITE	Fungi			
