Cor,CorrType,EdgeBetweenness,interaction,Pvalue,selected,shared interaction,shared name,partner1,partner2,Source,Target,a_d_interaction
-0.1947,Negative,11.139619846712694,interacts with,0.013,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) a596ae48f107278dfad5dc9a569a633f_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,a596ae48f107278dfad5dc9a569a633f_bacteria,0127,0027,0
-0.2424,Negative,13.230572102356978,interacts with,0.002,False,interacts with,007761694cceb108c141cce8750b23b5_fungi (interacts with) 96ebb5a9fbca50d3964296bb818d9861_bacteria,007761694cceb108c141cce8750b23b5_fungi,96ebb5a9fbca50d3964296bb818d9861_bacteria,0073,0155,0
-0.1571,Negative,14.304413836280103,interacts with,0.027,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) 96ebb5a9fbca50d3964296bb818d9861_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,96ebb5a9fbca50d3964296bb818d9861_bacteria,0176,0155,0
-0.1812,Negative,20.55292351611236,interacts with,0.012,False,interacts with,007761694cceb108c141cce8750b23b5_fungi (interacts with) 17eb8ebaa3d7404b362330e42a6d9149_bacteria,007761694cceb108c141cce8750b23b5_fungi,17eb8ebaa3d7404b362330e42a6d9149_bacteria,0073,0231,0
0.2366,Positive,11.112406956113116,interacts with,0.008,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 54693a9cf3c76c547dc9b56b6e9b266f_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,54693a9cf3c76c547dc9b56b6e9b266f_bacteria,0083,0029,0
-0.1814,Negative,12.086495756621613,interacts with,0.031,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) f26613069d47c75ba35ac6e391427f1d_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,f26613069d47c75ba35ac6e391427f1d_bacteria,0083,0030,0
0.222,Positive,10.0589466922371,interacts with,0.008,False,interacts with,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote (interacts with) f26613069d47c75ba35ac6e391427f1d_bacteria,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote,f26613069d47c75ba35ac6e391427f1d_bacteria,0093,0030,0
-0.2487,Negative,10.831922338845494,interacts with,0.001,False,interacts with,007761694cceb108c141cce8750b23b5_fungi (interacts with) a3b134fae5f1a2aa2a17c919b5c3a922_bacteria,007761694cceb108c141cce8750b23b5_fungi,a3b134fae5f1a2aa2a17c919b5c3a922_bacteria,0073,0156,0
-0.1708,Negative,13.55424463350033,interacts with,0.034,False,interacts with,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote (interacts with) 58fe37239368831978117dc5136718fe_bacteria,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote,58fe37239368831978117dc5136718fe_bacteria,0093,0157,0
-0.2041,Negative,12.83422388711653,interacts with,0.009,False,interacts with,007761694cceb108c141cce8750b23b5_fungi (interacts with) ed6fcc3e0305e5fa551e1c67f33c1226_bacteria,007761694cceb108c141cce8750b23b5_fungi,ed6fcc3e0305e5fa551e1c67f33c1226_bacteria,0073,0158,0
