Node1	Node2	Pvalue	Cor	CorrType
761c2dba8986aae73bba9bb0f0dbae14_bacteria	00fae520fc99f4b43a079be78714514a_bacteria	0.009	0.217	Positive
20b02741232f1c067a84cab7b52256ee_bacteria	00fae520fc99f4b43a079be78714514a_bacteria	0.027	0.1842	Positive
6f0c774f7177fa246b2e3d023979a44d_bacteria	00fae520fc99f4b43a079be78714514a_bacteria	0.018	-0.1807	Negative
f733c60397f7fc312c9cdce5c6d9aba1_bacteria	00fae520fc99f4b43a079be78714514a_bacteria	0.047	0.1544	Positive
64f1fc5334789b8bb3ffa75ff021ed6c_bacteria	00fae520fc99f4b43a079be78714514a_bacteria	0.05	-0.1371	Negative
5adf0a31c5f82e92c77a54bf7943c186_bacteria	00fae520fc99f4b43a079be78714514a_bacteria	0.031	-0.1704	Negative
bc4dcedbb783ae6fa7d42e19730bbd6a_fungi	00fae520fc99f4b43a079be78714514a_bacteria	0.019	-0.1667	Negative
bbe92aaf5408d1efb04e64943df37ed3_eukaryote	00fae520fc99f4b43a079be78714514a_bacteria	0.037	-0.1756	Negative
d6e7187575c837cc355b39cb4c72f1b7_eukaryote	00fae520fc99f4b43a079be78714514a_bacteria	0.003	-0.2443	Negative
5c71206f2fadd330c5295bb2b8e24c9d_eukaryote	00fae520fc99f4b43a079be78714514a_bacteria	0.005	-0.2473	Negative
a654a25725fefee58e879aa11f5011b6_eukaryote	00fae520fc99f4b43a079be78714514a_bacteria	0.038	-0.1427	Negative
d56db645940d7263cd904f96f3e2258f_eukaryote	00fae520fc99f4b43a079be78714514a_bacteria	0.001	-0.3454	Negative
737804271196e9ba022de8d2c10afec9_eukaryote	00fae520fc99f4b43a079be78714514a_bacteria	0.005	-0.2241	Negative
1b4ee952b71b2a45e179b9cbb9ecf5ae_eukaryote	00fae520fc99f4b43a079be78714514a_bacteria	0.015	-0.1767	Negative
6025a8d68dfe9ed561f3501b70ef5274_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.001	0.3477	Positive
871638cacece191a60d3f3fe9407c592_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.006	0.2321	Positive
c861b1ec2e390a9906dec7ee827ab766_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.004	0.3609	Positive
55e2f6614bc214f35d8745edeee16727_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.001	0.4425	Positive
61781934a20bd3368b0737d605f29468_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.016	0.2072	Positive
11d0b6aaf61245ed190220edb6779865_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.001	0.4359	Positive
0c0605a3c4b75dfc31857a9167487df1_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.033	0.1825	Positive
943689dc4b1c713707c1520019c4e91d_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.01	0.2217	Positive
c4e15ee4c6a6debb8ef308d21e737e8e_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.025	0.1987	Positive
a11e7d00f7f42af59b01f4684a52fa9d_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.009	-0.2228	Negative
410eb181ab34fd951e2c531978b6faae_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.005	-0.2152	Negative
6f0c774f7177fa246b2e3d023979a44d_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.033	0.1625	Positive
f26613069d47c75ba35ac6e391427f1d_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.048	0.1631	Positive
2f25e52d298c8f4f1f4b648383bed31c_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.013	0.1938	Positive
4faf22474cef7bf9d255c73cd9db118e_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.023	-0.176	Negative
12ce93ddd82908b0631426465fc4feff_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.026	-0.172	Negative
be23ac7180eac196be3e0514333d4301_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.009	-0.2314	Negative
f4a81d1da4f94db765f8dc3f8d9d71c1_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.003	-0.2421	Negative
342e9d2aae0d012d6e73a1ded15cc28b_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.018	-0.1988	Negative
d4143a84fa86f4939237b7d4e33cfc4d_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.005	-0.2208	Negative
8c4947f4462ed1efbb71564b6c9aa0cb_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.005	-0.2062	Negative
dee54165b25b1b80bf40b51130dc690d_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.012	-0.2088	Negative
1ce72f2cc8eba8fb0a3b299aa0e53526_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.017	-0.1797	Negative
a4830ec2beeeeaef48f6d7f401df4241_fungi	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.047	-0.1747	Negative
89206af4589b68a36b3313e1be7c6448_fungi	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.032	-0.1849	Negative
25f16fb9e13dc11d9cdb2563441d93ea_fungi	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.032	-0.1766	Negative
12d11cd730ac7a521601a8c9ef2e3f4c_fungi	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.041	-0.1623	Negative
0f9788d4711e28f5164af206bb783e13_oomycete	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	0.046	-0.1704	Negative
